State,State_FIPS,Year,Total_Pop_25_Plus,Edu_12th_No_Diploma,Edu_HS_GED_or_Equiv,Edu_Some_College_Less_1_Year,Edu_Some_College_1_Plus_Year,Edu_Associates_Degree,Edu_Bachelors_Degree,Edu_Masters_Degree,Edu_Professional_Degree,Edu_Doctorate_Degree,HS_Grad_or_Higher_Count,HS_Grad_or_Higher_Pct
South Dakota,46,2021,590377,9442,172971,35491,83012,70944,127258,40741,11934,7013,549364,93.05
Tennessee,47,2021,4814533,81981,1502435,320462,656777,373330,924404,380364,91032,71681,4320485,89.74
Texas,48,2021,19224688,405152,4723476,1258124,2618254,1449493,4077821,1664046,359084,265486,16415784,85.39
Utah,49,2021,2010727,34230,445010,163888,333288,191196,484882,187250,38994,28971,1873479,93.17
Vermont,50,2021,462705,4952,121159,23882,49026,37790,120373,60950,13798,10500,437478,94.55
Virginia,51,2021,5942672,83017,1420599,356524,712717,456400,1394875,803551,168793,117241,5430700,91.38
Washington,53,2021,5401149,88438,1168676,392168,777607,544731,1287465,599751,120762,96684,4987844,92.35
West Virginia,54,2021,1265439,19418,495311,76049,146702,100721,179376,90559,21830,13423,1123971,88.82
Wisconsin,55,2021,4076339,62908,1222356,273525,520791,461115,876467,322544,71708,55759,3804265,93.33
Wyoming,56,2021,395348,5691,107814,35005,62610,48945,73255,30871,6773,4719,369992,93.59
Alaska,2,2021,485779,7229,135473,34890,83360,40276,101422,39120,12444,6304,453289,93.31
Alabama,1,2022,3474924,68302,1057155,228841,487303,311537,609316,286677,61890,42908,3085627,88.8
Alaska,2,2022,489218,8169,142455,33863,82215,48370,94168,39551,9379,6548,456549,93.32
Arizona,4,2022,5053656,115852,1202946,375978,784958,475387,1032052,463372,97473,73242,4505408,89.15
Arkansas,5,2022,2057624,34961,705670,146309,291767,167634,323961,144054,30805,23987,1834187,89.14
California,6,2022,26866773,738320,5506855,1610206,3582648,2115440,6056169,2643964,718109,517699,22751090,84.68
Colorado,8,2022,4084004,62130,823109,244723,517456,339016,1177891,508701,105518,83022,3799436,93.03
Connecticut,9,2022,2545188,40900,660047,143069,262624,197009,584999,345966,85582,49857,2329153,91.51
Delaware,10,2022,724041,11416,204385,48071,87620,61657,151894,81198,16336,14956,666117,92.0
District of Columbia,11,2022,479231,5579,64543,15868,39217,15974,126678,115091,47094,24411,448876,93.67
Florida,12,2022,16104410,367680,4363609,1065936,1889702,1643815,3445343,1430806,410107,232162,14481480,89.92
Georgia,13,2022,7332980,137419,1979843,448261,952853,638973,1519625,733360,173021,118108,6564044,89.51
Hawaii,15,2022,1023843,18188,273910,64597,135942,113948,226124,90504,29159,16917,951101,92.9
Idaho,16,2022,1280178,21389,333105,102880,202762,125979,274409,99915,22131,16713,1177894,92.01
Illinois,17,2022,8692839,169212,2187110,572448,1091586,731898,1952990,968013,213624,140791,7858460,90.4
Indiana,18,2022,4584460,88704,1472890,331007,549891,424272,869217,357804,72718,57273,4135072,90.2
Iowa,19,2022,2159511,29574,637844,154829,269712,258299,463740,167964,38145,27957,2018490,93.47
Kansas,20,2022,1944891,27315,491928,158286,271166,176787,426910,194772,40463,30398,1790710,92.07
Kentucky,21,2022,3091499,52084,1002671,226878,388240,272315,508620,253773,61733,37210,2751440,89.0
Louisiana,22,2022,3096121,59896,1006184,199127,435982,221439,525044,218915,60815,35332,2702838,87.3
Maine,23,2022,1030141,10972,310778,58519,124350,109768,229764,99149,25435,17210,974973,94.64
Maryland,24,2022,4286216,70794,1009588,261327,473804,294875,996167,617106,136078,129354,3918299,91.42
Massachusetts,25,2022,4947384,79647,1136350,257805,448342,368426,1252187,735346,152320,167856,4518632,91.33
Michigan,26,2022,6978952,125942,1962345,539210,991922,673901,1361139,651795,134069,94849,6409230,91.84
Minnesota,27,2022,3918565,55114,917132,266686,501208,465947,995083,378864,94114,65650,3684684,94.03
Mississippi,28,2022,1963322,33652,604163,128315,291255,209877,297480,136302,28384,24020,1719796,87.6
Missouri,29,2022,4236010,65541,1275978,319714,568969,349715,835865,381114,86312,60726,3878393,91.56
Montana,30,2022,785438,9734,217592,57267,117759,74327,179708,65526,14504,12004,738687,94.05
Nebraska,31,2022,1300094,18887,326031,99577,181139,149122,293346,110690,27097,19384,1206386,92.79
Nevada,32,2022,2223852,71051,620161,176422,352879,193387,390872,144438,42724,23178,1944061,87.42
New Hampshire,33,2022,1024780,11370,277802,61313,110755,95635,252073,131091,19969,20137,968775,94.53
New Jersey,34,2022,6482223,123057,1635078,357416,629782,436335,1679895,834955,187268,119490,5880219,90.71
New Mexico,35,2022,1453129,25139,374107,95454,234378,132292,246178,139286,26893,30240,1278828,88.01
New York,36,2022,13892241,334899,3413879,704512,1312447,1223629,3097409,1774703,429744,254705,12211028,87.9
North Carolina,37,2022,7372120,106820,1834892,479544,944254,742711,1678483,708100,139874,121542,6649400,90.2
North Dakota,38,2022,514786,7151,131842,33740,80635,73150,115034,33321,9547,5939,483208,93.87
Ohio,39,2022,8130929,142040,2597720,574036,975584,712777,1578535,760014,157444,104386,7460496,91.75
Oklahoma,40,2022,2661141,49878,813545,209763,377407,223641,495467,187067,44357,32026,2383273,89.56
Oregon,41,2022,3043930,53631,690248,243718,477443,271686,675825,297339,77808,55267,2789334,91.64
Pennsylvania,42,2022,9151744,154178,3019642,509440,884765,813094,1899494,940588,204829,164782,8436634,92.19
Rhode Island,44,2022,778191,13302,192219,50748,90347,62473,185883,84304,22292,15933,704199,90.49
South Carolina,45,2022,3664922,68099,1015742,245183,491640,368850,725469,345957,68340,54737,3315918,90.48
South Dakota,46,2022,605735,7045,177171,38483,77380,80011,131481,41868,9890,8078,564362,93.17
Tennessee,47,2022,4868110,86574,1523487,331376,648241,381534,958365,391150,92489,71956,4398598,90.36
Texas,48,2022,19597383,404431,4733230,1297863,2673107,1519767,4242031,1779032,366285,264060,16875375,86.11
Utah,49,2022,2042912,38007,449458,154959,317269,203542,505215,194392,39257,36185,1900277,93.02
Vermont,50,2022,467643,5333,121782,22627,51560,41367,114633,65678,15182,11346,444175,94.98
Virginia,51,2022,5978782,88806,1431624,360707,706905,451737,1409942,818944,165133,128015,5473007,91.54
Washington,53,2022,5470209,95516,1176424,398743,762268,544596,1302707,624627,129492,102857,5041714,92.17
West Virginia,54,2022,1262566,18958,484166,81446,135471,111246,188793,88210,21126,14957,1125415,89.14
Wisconsin,55,2022,4088500,65281,1209135,270280,528285,455882,885548,344375,72109,56389,3822003,93.48
Wyoming,56,2022,399796,5112,109092,31521,68099,47844,71812,34361,5705,6288,374722,93.73
Puerto Rico,72,2022,2404438,17794,671662,38018,251872,284600,503506,148347,32681,33185,1963871,81.68
