State,State_FIPS,Year,Total_Pop_25_Plus,Edu_12th_No_Diploma,Edu_HS_GED_or_Equiv,Edu_Some_College_Less_1_Year,Edu_Some_College_1_Plus_Year,Edu_Associates_Degree,Edu_Bachelors_Degree,Edu_Masters_Degree,Edu_Professional_Degree,Edu_Doctorate_Degree,HS_Grad_or_Higher_Count,HS_Grad_or_Higher_Pct
Colorado,8,2021,4044182,61487,814373,239829,553609,334157,1107309,500621,105810,82500,3738208,92.43
Connecticut,9,2021,2534376,42794,646776,138850,267818,188070,587690,348217,83078,48686,2309185,91.11
Delaware,10,2021,711104,11541,201366,41763,87120,66097,146295,80771,14294,11932,649638,91.36
District of Columbia,11,2021,478774,4128,70925,14618,41603,15235,120771,109362,48117,23602,444233,92.79
Florida,12,2021,15762122,355178,4363466,1023966,1956797,1582504,3248221,1368496,384303,225826,14153579,89.79
Georgia,13,2021,7234271,138332,1930376,419053,972319,609570,1514014,699356,173470,118236,6436394,88.97
Hawaii,15,2021,1021687,17989,269095,64921,141970,112809,226849,91083,27139,15610,949476,92.93
Idaho,16,2021,1257566,25033,338282,92940,203643,126524,253762,94108,23862,14532,1147653,91.26
Illinois,17,2021,8730697,159035,2194993,589065,1118720,727336,1932282,961986,213218,135093,7872693,90.17
Indiana,18,2021,4559631,79261,1517996,314335,569371,414408,843069,343526,74471,55721,4132897,90.64
Iowa,19,2021,2137261,25038,646672,161077,278648,255456,441878,145253,34653,30958,1994595,93.32
Kansas,20,2021,1942133,28734,493645,165082,270957,167575,427464,187756,44232,28000,1784711,91.89
Kentucky,21,2021,3077867,46871,1007954,203710,390361,275708,488546,248867,56988,36013,2708147,87.99
Louisiana,22,2021,3117186,59256,1023442,178427,464414,211237,523475,205307,58391,37196,2701889,86.68
Maine,23,2021,1015078,11047,300595,60656,125830,107147,224987,98761,22502,19055,959533,94.53
Maryland,24,2021,4273260,79627,1019047,257787,502564,294842,956533,606779,138912,115978,3892442,91.09
Massachusetts,25,2021,4934755,75019,1124134,242588,451850,376568,1250748,736774,156628,156273,4495563,91.1
Michigan,26,2021,6971895,119257,2003265,530359,989480,680323,1338162,649768,130768,89472,6411597,91.96
Minnesota,27,2021,3898742,48026,909518,263426,520783,459742,993883,367967,93091,61485,3669895,94.13
