observation_date,GCT1501IL
2006-01-01,85.0
2007-01-01,85.7
2008-01-01,85.9
2009-01-01,86.4
2010-01-01,86.9
2011-01-01,87.2
2012-01-01,87.6
2013-01-01,87.8
2014-01-01,88.2
2015-01-01,88.6
2016-01-01,88.8
2017-01-01,89.1
2018-01-01,89.5
2019-01-01,89.8
2020-01-01,90.4
2021-01-01,90.2
2022-01-01,90.4
2023-01-01,90.6
2024-01-01,90.7
